Dataset,Query,Milliseconds
100%,Query 1,358.13
100%,Query 2,1111.28
100%,Query 3,2005.43
100%,Query 4,4520.32
100%,Query 5,7246.43
75%,Query 1,300.51
75%,Query 2,894.77
75%,Query 3,1482.46
75%,Query 4,3885.95
75%,Query 5,5895.93
50%,Query 1,223.09
50%,Query 2,531.57
50%,Query 3,976.51
50%,Query 4,2829.79
50%,Query 5,3818.09
25%,Query 1,190.06
25%,Query 2,447.15
25%,Query 3,575.9
25%,Query 4,1175.2
25%,Query 5,2138.03
