Dataset,Query,Milliseconds
100%,Query 1,57.66
100%,Query 2,49.93
100%,Query 3,65.69
100%,Query 4,91.65
100%,Query 5,100.86
75%,Query 1,29.21
75%,Query 2,47.21
75%,Query 3,57.38
75%,Query 4,72.26
75%,Query 5,91.05
50%,Query 1,27.28
50%,Query 2,38.84
50%,Query 3,53.06
50%,Query 4,70.45
50%,Query 5,87.5
25%,Query 1,24.39
25%,Query 2,35.7
25%,Query 3,43.63
25%,Query 4,65.73
25%,Query 5,77.19
